"Row.names","log2FoldChange"
"H2-Ke6",0.833694333443496
"Thap3",0.833274856415973
"Sec14l5",0.833091570954276
"Kazn",0.832945274159404
"Gm11724",0.832553532549565
"Mboat4",0.832363446424774
"Zfp385c",0.832214784566759
"Ctsw",0.832151967065596
"AW551984",0.831954698277322
"Odf3b",0.831786464540597
"1810063I02Rik",0.83177097446798
"A930024E05Rik",0.831715390906338
"Ccdc61",0.831500016014857
"Cacng5",0.831165718796764
"Ptpn5",0.831138328045841
"6720468P15Rik",0.831053243757359
"Pitpnm1",0.830242166693554
"Gm24366",0.830238139174452
"Gm25600",0.829895283342194
"Dusp2",0.829110444293516
"Tmem59l",0.828845810317872
"Gm15122",0.828572100720929
"Susd1",0.828436726009494
"Morn5",0.828370900958837
"Gm11723",0.828278597567787
"Gm10614",0.827874392170217
"Gng2",0.827739897885456
"Stac2",0.827474389366172
"Gm44901",0.827121348163404
"Mctp2",0.82695636611033
"Wnt5a",0.826636554704417
"Gpm6b",0.82590477495964
"Tmem35b",0.824985473891832
"Cblc",0.824436409988212
"Col5a3",0.824371722558743
"Matk",0.823742914129982
"Nid2",0.823511088562055
"Platr7",0.823191091785151
"Kcnk6",0.823118572823004
"Gm42884",0.823106911157566
"Mettl7a3",0.822812757208855
"Flywch2",0.822263023902899
"Cnpy1",0.821725386677878
"mt-Tk",0.821626905181371
"Smarca1",0.821032731764788
"Naga",0.819997695175445
"Gm12439",0.819504557510974
"Rpl10-ps5",0.819504557510974
"Gm5225",0.819350706632841
"Oprd1",0.818986448816901
"Gm49503",0.818852966603892
"Gm16104",0.818804670275313
"Zc3h6",0.818775256619303
"Fa2h",0.818435665953087
"Atp8b5",0.818226974893942
"Fut10",0.81817701918536
"Gm13387",0.818163965527534
"Syt5",0.818019882703116
"Gm14593",0.817704543657005
"Mxra7",0.817517587332174
"Gfap",0.816502064987285
"Tnrc18",0.81637229435031
"Ppara",0.816327433978266
"Neil2",0.816325823162563
"Cd80",0.814982631816172
"Npb",0.814502626183219
"Cd300lg",0.813780651970735
"Gm12941",0.81318132710709
"Gm45205",0.813126229173109
"C3",0.811671179751722
